,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,metadata_source
0,Dorian Finney-Smith,28.000000:00,3.0,10.0,0.3,2.0,6.0,0.333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8.0,-22.0,2022-03-19 DAL @ CHA
1,Maxi Kleber,25.000000:24,3.0,4.0,0.75,1.0,2.0,0.5,2.0,2.0,1.0,1.0,6.0,7.0,0.0,1.0,1.0,1.0,4.0,9.0,-6.0,2022-03-19 DAL @ CHA
2,Dwight Powell,21.000000:40,0.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,-12.0,2022-03-19 DAL @ CHA
3,Jalen Brunson,22.000000:42,3.0,8.0,0.375,0.0,2.0,0.0,4.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,10.0,-4.0,2022-03-19 DAL @ CHA
4,Luka Doncic,29.000000:52,13.0,20.0,0.65,8.0,12.0,0.667,3.0,5.0,0.6,0.0,4.0,4.0,3.0,0.0,0.0,4.0,2.0,37.0,-30.0,2022-03-19 DAL @ CHA
5,Trey Burke,22.000000:35,2.0,11.0,0.182,1.0,5.0,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,5.0,-13.0,2022-03-19 DAL @ CHA
6,Marquese Chriss,16.000000:39,4.0,9.0,0.444,0.0,1.0,0.0,2.0,4.0,0.5,3.0,6.0,9.0,1.0,0.0,2.0,0.0,2.0,10.0,0.0,2022-03-19 DAL @ CHA
7,Davis Bertans,11.000000:48,1.0,4.0,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,6.0,2.0,-9.0,2022-03-19 DAL @ CHA
8,Josh Green,21.000000:08,4.0,6.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,9.0,-6.0,2022-03-19 DAL @ CHA
9,Sterling Brown,16.000000:51,1.0,4.0,0.25,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,3.0,4.0,5.0,2022-03-19 DAL @ CHA
10,Frank Ntilikina,23.000000:21,5.0,9.0,0.556,1.0,3.0,0.333,1.0,1.0,1.0,2.0,4.0,6.0,4.0,0.0,1.0,0.0,2.0,12.0,-8.0,2022-03-19 DAL @ CHA
